Full Name,Company Name,Job Title,Talk Title,Abstract,What You'll Learn,Prerequiste Knowledge (if required),Track,Technical Level (1-7),Category 1,Top 3 keywords (in order),Bio,YouTube Link,Relevant Industries,What is Unique about your session,Event,YouTube ID
Krishnachaitanya Gogineni,Observe.AI,Principal ML Engineer,Generative AI Design Patterns,"In this presentation, we delve into the expansive world of generative AI design patterns, selecting five pivotal examples to explore in depth: Retrieval Augmented Generation (RAG), Cluster Pulse, State Based Agents, Guard Rails, and Auto-Prompting. These patterns represent a subset of the broader spectrum of generative AI techniques, each offering unique insights into how we can enhance the capabilities and safety of AI systems. RAG provides a method for enriching AI responses with external data, Cluster Pulse fosters creativity in AI outputs, State Based Agents ensure AI actions are aligned with specific objectives, Guard Rails establish boundaries for AI behavior, and Auto-Prompting facilitates more dynamic and context-aware interactions with AI models.

The application of these patterns is demonstrated through the development of the Personalized K-8 Tutor, a project that showcases the synergistic potential of combining multiple generative AI design patterns. This educational tool leverages the strengths of each pattern to create a customized learning experience that adapts to the unique needs and preferences of individual students. By focusing on these five patterns, the presentation aims to provide attendees with a clear understanding of how generative AI can be harnessed to create innovative and impactful solutions, while also highlighting the vast array of other patterns waiting to be explored in the field of generative AI."," Understanding of three critical generative AI design patterns: Retrieval Augmented Generation (RAG) for enhancing AI responses with external information, State Based Agent for managing AI behavior, and Cluster Pulse for fostering AI creativity.
Insight into the practical application of these design patterns in building intelligent and adaptive AI systems.
Hands-on experience in integrating these patterns into a comprehensive project, the Personalized K-8 Tutor, showcasing their potential to revolutionize educational technology.
Appreciation of the importance of design patterns in structuring and optimizing generative AI solutions for real-world challenges.
Knowledge of how to leverage generative AI to create innovative, user-centric applications that push the boundaries of traditional software engineering.",,Research or Advanced Technical,3.0,Introduction to MLOps and GenAI,"Generative AI, design patterns, Retrieval Augmented Generation (RAG).






","Krishna Gogineni is a Principal Engineer at Observe.AI, leading the company's Generative AI stack. He specializes in integrating and productionizing large language models and other advanced architectures to solve product use cases, expertly balancing accuracy/quality with cost/latency. With a solid background in platform engineering and machine learning, Krishna excels in applying state-of-the-art research to industry use cases at scale, ensuring economic viability. Outside of work, he enjoys writing, attending local hackathons and startup events.",https://www.youtube.com/watch?v=mXki_lLKogM,,,TMLS 2024,mXki_lLKogM
Sophia Yang,Anaconda,Senior Data Scientist,PyScript for data science,"Are you a data scientist or a developer who mostly uses Python? Are you jealous of developers who write Javascript code and build fancy websites in a browser? How nice would it be if we can write websites in Python? PyScript makes it possible! PyScript allows users to write Python in the browser. In this talk, I will introduce PyScript and discuss what does PyScript mean for data scientists, how PyScript might change the way data scientists work, and how PyScript can be incorporated into the data science workflow.",Use PyScript to run Python in Your HTML,,Technical,4.0,Introduction to MLOps and GenAI,,"Sophia Yang is a Senior Data Scientist at Anaconda, Inc., where she uses data science to facilitate decision-making for various departments across the company. She volunteers as a Project Incubator at NumFOCUS to help Open Source Scientific projects grow. She is also the author of multiple Python open-source libraries such as condastats, cranlogs, PyPowerUp, intake-stripe, and intake-salesforce. She holds an M.S. in Statistics and Ph.D. in Educational Psychology from The University of Texas at Austin.",https://www.youtube.com/watch?v=dcKwdZ6Aijs,Information Technology & Service,,,dcKwdZ6Aijs
Aniket Maurya,Lightning AI,Developer Advocate,AI Agents with Function Calling/Tool Use,Learn about Agentic workflows with LLM tool use. Generate structured JSON output and execute external tools/functions.,By the end of this workshop you will learn how to build AI Agents and make use of function calling with OpenAI and open-source LLMs,Python and LLM fundamentals,Workshop,4.0,"Model dev, training, arch.","AI agents, function calling, LLM tool use.","I’m Aniket, a Machine Learning - Software Engineer with with over 4 years of experience, demonstrating a strong track record in developing and deploying machine learning models to production.",https://www.youtube.com/watch?v=46x7WbaSgqs,"Computer Software
",,TMLS 2024,46x7WbaSgqs
Marcelo Litovsky,Aporia,Director of Sales Engineering,The Missing Piece of MLOps,"MLOps is bringing a lot of attention to the business impact of Machine Learning. It also introduces new challenges that cannot be efficiently addressed with DevOps. What are these challenges, and what makes MLOps so different from DevOps? They both deal with the life cycle of an application, so what is the difference? Most software applications have a pre-defined behavior. We know the data going in, and we know the data going out. Anything not matching a predefined format or schema is a problem. Machine Learning models follow the same pattern to operate, but their value diminishes as the content of the data changes. We are looking at the schema, format, and patterns describing a change in the data. This is the big difference between DevOps and MLOps, observing the data. 

Most organizations have focused on the simplification, automation, and scalability of Machine Learning applications. Observability has taken a back seat. This session will explore the steps you can take to prepare for ML observability. We will also discuss how observability helps data scientists and MLOps practitioners showcase the business value of the applications they deploy and get recognition for their hard work.
",This session will explore the steps you can take to prepare for ML observability. We will also discuss how observability helps data scientists and MLOps practitioners showcase the business value of the applications they deploy and get recognition for their hard work.,,Workshop,4.0,Performance optimization and efficiency,,"Marcelo Litovsky is an experienced Information Technology professional with 30 years of diverse background in Enterprise Architecture, AI, Systems and Database Management, and Programming. He has worked in multiple industries: Financial Services, Entertainment, and Information Technology in his career. Today, he serves as Director of Sales Engineering at Aporia, bringing his expertise to help Data Scientists, Machine Learning Engineers, and Business Users work together to unlock and promote the business value of their machine learning models. You can find him at the gym, preparing healthy vegan meals when he is not talking to customers or writing Python code.",https://www.youtube.com/watch?v=LCQy1Y4f6pw,,,TMLS 2022,LCQy1Y4f6pw
Anish  Shah,Weights & Biases,ML Engineer,Investigating the Evolution of Evaluation from Model Training to GenAI inference,"This session explores the evolution of evaluation techniques in machine learning, from traditional model training through fine-tuning to the current challenges of assessing large language models (LLMs) and generative AI systems. We'll trace the progression from simple metrics like accuracy and F1 score to sophisticated automated evaluation systems that can generate criteria and assertions. The session will culminate in an in-depth look at cutting-edge approaches like EvalGen, which use LLMs to assist in creating aligned evaluation criteria while addressing phenomena like criteria drift."," Attendees will gain a comprehensive understanding of evaluation techniques across different ML paradigms, from cross-validation in traditional training to the nuances of evaluating fine-tuned models and LLMs. You'll learn practical approaches for automating evaluation criteria and assertions, strategies for aligning these automated evaluations with human judgments, and techniques for handling the unique challenges posed by generative AI, such as criteria drift and the balance between human oversight and AI-assisted evaluation.",,Advanced Technical/Research,2.0,Deployment and integration,"Evaluation techniques, Generative AI, Large Language Models (LLMs)","Anish Shah is a leading expert in AI and ML at Weights & Biases, specializing in the optimization of large language models for complex applications. With extensive experience in fine-tuning and model evaluation, Anish has contributed to significant advancements in the field of AI research and presented at many conferences and events",https://www.youtube.com/watch?v=0pznirh2Ko4,"Computer Software, Information Technology Services","This session offers a rare, holistic view of AI evaluation, bridging the gap between traditional machine learning and cutting-edge generative AI. By examining the progression of evaluation techniques, attendees will gain insights into both the historical context and future directions of AI assessment. The discussion of automated evaluation systems like EvalGen provides practical, forward-looking knowledge that can be applied to real-world LLM projects, while the exploration of phenomena like criteria drift offers a nuanced understanding of the ongoing challenges in this rapidly evolving field.",MLOps & GenAI World 2024,0pznirh2Ko4
Rajiv  Shah,Hugging Face,Machine Learning Engineer,Evaluation Techniques for Large Language Models,"Large language models (LLMs) represent an exciting trend in AI, with many new commercial and open-source models released recently. However, selecting the right LLM for your needs has become increasingly complex. This tutorial provides data scientists and machine learning engineers with practical tools and best practices for evaluating and choosing LLMs.

The tutorial will cover the existing research on the capabilities of LLMs versus small traditional ML models. If an LLM is the best solution, the tutorial covers several techniques, including evaluation suites like the EleutherAI Harness, head-to-head competition approaches, and using LLMs for evaluating other LLMs. The tutorial will also touch on subtle factors that affect evaluation, including role of prompts, tokenization, and requirements for factual accuracy. Finally, a discussion of model bias and ethics will be integrated into the working examples.

Attendees will gain an in-depth understanding of LLM evaluation tradeoffs and methods. Jupyter Notebooks will provide reusable code for each technique discussed.",Ways to quickly start evaluating models,,Advanced Technical/Research,5.0,"Model dev, training, arch.","Large language models (LLMs), Model evaluation techniques, Prompt engineering
","Rajiv Shah is a machine learning engineer at Hugging Face who focuses on enabling enterprise teams to succeed with AI. Rajiv is a leading expert in the practical application of AI. Previously, he led data science enablement efforts across hundreds of data scientists at DataRobot. He was also a part of data science teams at Snorkel AI, Caterpillar, and State Farm.

Rajiv is a widely recognized speaker on AI, published over 20 research papers, been cited over 1000 times, and received over 20 patents. His recent work in AI covers topics such as sports analytics, deep learning, and interpretability.

Rajiv holds a PhD in Communications and a Juris Doctor from the University of Illinois at Urbana Champaign. While earning his degrees, he received a fellowship in Digital Government from the John F. Kennedy School of Government at Harvard University. He has recently started making short videos, @rajistics, with several million views.",https://www.youtube.com/watch?v=vqO7ks7DFZw,"Banking & Financial Services, Insurance
",,MLOps & GenAI World 2023,vqO7ks7DFZw
Eero Laaksonen,Valohai,CEO & Founder,MLOps for AgenticAI: How to manage Agents in production,"AI Agents are taking over (and for a good reason). There's infinite yet untapped potential for everyone, from enterprises to startups, working on everything, from supporting internal operations to shipping user-facing features. New players emerge specifically to offer AI Agents as a service, often catering to specific industries.  

However, very few have succeeded in getting their AI Agents to production and generating value from them. One of the main reasons is the complex infrastructure and MLOps best practices that must be in place from day one.

What You'll Learn: 
- How to build the foundation for future-proofing the success of proprietary AI Agents
- The trade offs in MLOps stacks and AI infrastructure for in the AgenticAI space
- How to manage AI Agents in production and maximize the Return-on-Investment",,,Business Strategy,3.0,Deployment and integration,"AI Agents in production, MLOps infrastructure, Return-on-Investment (ROI)",Serial entrepreneur hippie with a keen interest in making the world a better place. I believe people should work less and enjoy life more. Currently escalating the adoption of machine learning in enterprises around the world with Valohai.,https://www.youtube.com/watch?v=Glurm_ADDpU,,,MLOps & GenAI World 2024,Glurm_ADDpU
Mike  Taylor,Saxifrage,Owner,Making ChatGPT funny with Prompt Optimization,"A recent study found ChatGPT repeated the same 25 jokes 90% of the time. As is often the case with popular narratives about the limits of AI, ChatGPT is capable of so much more... you just have to know how to ask! Using principles of prompt engineering, I try to get ChatGPT to make you laugh, while arming you with techniques for overcoming similar supposed limitations, when working with AI.","AI is capable of a lot more than people realize, and they'd get better results if they learned prompt engineering.",-,,2.0,Introduction to MLOps and GenAI,"Prompt optimization, ChatGPT, AI humor","I’m a data-driven, technical marketer who built a 50 person marketing agency (Ladder), and 300k people have taken my online courses (LinkedIn, Udemy, Vexpower). I now work freelance on generative AI projects, and I’m writing a book on Prompt Engineering for (O’Reilly Media).",https://www.youtube.com/watch?v=lo6OOTlSS6A,"Banking & Financial Services, Hospital & Health Care, Information Technology & Service, Marketing & Advertising, Telecommunications
",,MLOps & GenAI World 2023,lo6OOTlSS6A
Qingyun Wu,Agmax Inc,Assistant Professor at Penn State University; Creator of AutoGen,AutoGen: Enabling Next-Gen AI Applications via Multi-Agent Conversation,"AutoGen is an open-source programming framework for agentic AI. It enables the development of AI agentic applications using multiple agents that can converse with each other to solve tasks. In this session, the speaker will provide a deep dive into the key concepts of AutoGen, demonstrate diverse applications enabled by AutoGen, and share the latest updates and ongoing efforts spanning across key directions such as evaluation, interfaces, learning/optimization/teaching, and seamless integration with existing AI technologies.","- Agentic AI and the core concepts of AutoGen as an open-source programming framework for agentic AI
- How AutoGen enables the development of AI applications using multiple conversing agents
- The architecture and key components of the AutoGen framework
- Various applications and use cases made possible by AutoGen
Recent updates and ongoing developments in the AutoGen project
- Key areas of focus in AutoGen's development.

You will gain insights into how AutoGen can be used to create advanced AI applications that leverage multi-agent conversations to solve complex tasks. You will also get a glimpse of the future directions and potential impact of this technology in the field of AI.",,case study & advanced technical,1.0,Deployment and integration,"AutoGen, Agentic AI, Multi-agent conversation
","Dr. Qingyun Wu is an Assistant Professor at the College of Information Science and Technology at Penn State University. She is a post-doc researcher in the NYC Lab of Microsoft Research 2020-2021. She got her Ph.D. in Computer Science from the University of Virginia in 2020. Qingyun received the 2019 SIGIR Best Paper Award and ICLR 2024 LLM agent workshop Best Paper Award. Qingyun is the creator and one of the core maintainers of AutoGen, a leading programming framework for agentic AI applications.",https://www.youtube.com/watch?v=WLKStss2WXQ,"Banking & Financial Services, Computer Software, Information Technology Services, Insurance, Telecommunications, Marketing & Advertising, Hospital & Health Care, Food & Beverage, Enviromental Services, Automotive","This session on AutoGen offers a unique perspective on the emerging trend of agentic AI in business applications:

- Multi-agent framework for business solutions: While many discussions on agentic AI focus on single agents, AutoGen introduces a framework for creating multi-agent systems. This approach is particularly relevant for complex business scenarios that require collaboration and diverse expertise.
- Practical implementation of a trending concept: As agentic AI gains traction in various industries, this session provides concrete tools and methods to implement these concepts using the AutoGen framework. It bridges the gap between theoretical trends and practical business applications.
- Open-source advantage for businesses: AutoGen's open-source nature offers a unique opportunity for businesses to adopt, customize, and scale agentic AI solutions without being locked into proprietary systems. This can be especially appealing for companies looking to innovate while controlling costs and maintaining flexibility.
- Real-world use cases: The session likely showcases diverse business applications of AutoGen, demonstrating how multi-agent AI can solve real-world problems across different industries. This practical focus sets it apart from more theoretical discussions on agentic AI.
- Integration with existing business technologies: By addressing how AutoGen can be integrated with current AI technologies, the session offers insights on how businesses can evolve their existing AI infrastructure towards more advanced agentic systems.
- Future-proofing business AI strategies: With its focus on the latest developments and future directions, this session provides valuable insights for businesses looking to stay ahead in the rapidly evolving AI landscape.

This unique combination of practical tools, business-relevant applications, and forward-looking insights makes the session particularly valuable for attendees interested in leveraging the trending concept of agentic AI for business innovation and problem-solving.",MLOps & GenAI World 2024,WLKStss2WXQ
Bo Chang,Google Brain,Software Engineer,Latent User Intent Modeling in Recommender Systems,"The current sequential recommender systems mainly rely on users’ item-level interaction history to capture topical interests and lacks a high-level understanding of user intent. It is challenging to explicitly define and enumerate all possible user intents. We propose to use latent variable models to capture user intents as latent variables through encoding and decoding user behavior signals, with an application to a large industrial recommender system.",How to better model user intent in recommender systems using a latent variable model.,,Advanced Technical/ Research,7.0,"Model dev, training, arch.",,"Bo Chang is a software engineer at Google Brain, based in Toronto, Canada. Prior to that, he was a machine learning researcher at Borealis AI. He finished his Ph.D. in statistics at the University of British Columbia.",https://www.youtube.com/watch?v=PMUoygO5S3Q,,Noval ML techniqies,,PMUoygO5S3Q
Chip Huyen,Claypot AI,CEO,Real-time Machine Learning: Architecture and Challenges,Fresh data beats stale data for machine learning applications. This talk discusses the value of fresh data as well as different types of architecture and challenges of online prediction.,Fresh data beats stale data for machine learning applications,,Technical,5.0,"Model dev, training, arch.",,"Chip Huyen is a co-founder of Claypot AI, a platform for real-time machine learning. Previously, she was with Snorkel AI and NVIDIA. She teaches CS 329S: Machine Learning Systems Design at Stanford. She’s the author of Designing Machine Learning Systems, an Amazon bestseller in AI. She has also written four bestselling Vietnamese books.",https://www.youtube.com/watch?v=S4A8QWN1G7s,,,TMLS 2022,S4A8QWN1G7s
Tibor Mach,DVC,Machine Learning Solutions Engineer,Applying GitOps principles at every step of an E2E MLOps project - an interactive workshop,"With the emergence of IaC (infrastructure as code) tools, we have seen GitOps become an increasingly popular DevOps pattern that facilitates automation, reproducibility, and security. While hugely beneficial, applying the same principles in MLOps is not straightforward due to the specific aspects of the field such as the need to work with large amounts of data and the experimental nature of ML development. In this talk, we will see how we can bridge these gaps by using tools such as DVC. Step by step, we will create an end-to-end MLOps pipeline which is centered around the git repository as its single source of truth.","In this largely interactive workshop you can learn how you can use your git repositories to keep track of your ML experiments, version data and models, maintain a model registry and handle model deployment",Basics of working with git and conceptual understanding of GitHub Actions or GitLab CI.,Workshop,4.0,Deployment and integration,"GitOps, MLOps, DVC





",Tibor Mach is a Machine Learning Solutions Engineer at Iterative.ai He has been working in ML and MLOps in the past 5 years. Tibor has a Ph.D in mathematics from the University of Göttingen and had published papers in the field of probability theory prior to refocusing to ML.,https://www.youtube.com/watch?v=J3vUMwG8dks,,"The talk brings together unique insights from creators of popular data versioning tool DVC with first-hand experience in navigating the challenges of data versioning in generative AI. We will focus on basic principles and user stories instead of DVC or other tools. Moreover, the talk will foster dialogue about recent changes in the field, providing fresh perspectives on the transformations generative AI has introduced to data versioning.
",MLOps & GenAI World 2023,J3vUMwG8dks
Arpita Vats,LinkedIn,Senior AI Engineer,LLMs in Vision Models,"The integration of Large Language Models (LLMs) in vision-based AI systems has sparked a new frontier in multimedia understanding. Traditional vision models, while powerful, often lack the ability to comprehend contextual information beyond visual features. By incorporating LLMs, vision models can process both visual and textual information, creating a more holistic and interpretable understanding of multimedia content. This presentation will explore the convergence of LLMs with vision models, highlighting their application in image captioning, object recognition, and multimodal recommendation systems."," By attending this presentation, the audience will learn how Large Language Models (LLMs) can enhance the capabilities of vision-based AI systems, creating more context-aware and interpretable multimedia models. Attendees will gain insights into the architecture and integration techniques used to combine vision and language models, practical industry applications, and the challenges and solutions associated with building these advanced systems. They will leave with a deeper understanding of how LLMs in vision models are transforming multimedia analysis, enabling more accurate, scalable, and personalized AI-driven solutions.",,Workshop,5.0,"Model dev, training, arch.","LLMs in vision, Multimodal integration, Context-aware AI","I am a Senior AI Engineer at LinkedIn with expertise in AI, Deep Learning, NLP, and Computer Vision. I have experience from Meta and Amazon, where I focused on LLM and Generative AI. I have published papers and led projects enhancing recommendation algorithms and multimedia models for various industry applications.",https://www.youtube.com/watch?v=4uF0ugpSmpk,"Computer Software, Hospital & Health Care","This session will focus on the practical integration of Large Language Models (LLMs) with vision-based AI systems, bridging the gap between theory and real-world application. Unlike traditional sessions that may focus solely on either vision or language models, this session dives into the convergence of both, demonstrating how the fusion of these technologies can create powerful, context-aware multimedia models. I will present real-world case studies and architectures that show how this integration improves AI-driven tasks such as image captioning, object recognition, and personalized recommendations. Attendees will gain actionable insights and strategies for implementing these advanced models in industry settings, making the session both technically enriching and highly applicable.",MLOps & GenAI World 2024,4uF0ugpSmpk
Greg Kuhlmann,Sumatra,CEO,Learning from Extremes: What Fraud-Fighting at Scale Can Teach Us About MLOps Across Domains,"The engineers behind large-scale anti-fraud platforms, faced with extreme demands for low-latency inference, feature freshness, and agile redeployment, have been the quiet pioneers at the cutting edge of MLOps. One might assume the architectures and practices developed for these intense problems would be overkill in less operationally-demanding domains. However, we will challenge this assumption, and discuss how the real-time-first approach taken by these systems actually simplifies architectures by eliminating many complex pipelines. Further, we'll show how the observability and replay technlogies developed to respond quickly to unpredictable attacks can be applied broadly to make ML teams more agile across the board.","- The canonical architecture for modern, large-scale, real-time fraud prevention systems
- A comparison of the ""real-time-first"" vs. ""make-batch-faster"" approaches
- How log-time denormalization, unified online/offline feature transformation engines, and backfill on demand, are the keys to rapidly deploying model improvements in non-stationary domains",-,,5.0,Deployment and integration,"Fraud prevention systems, Real-time MLOps, Observability and replay technologies
","Greg Kuhlmann is Co-founder and CEO of Sumatra, a realtime customer data platform that helps growth teams optimize conversions through on-site personalization and recommendations. He formerly led data science teams for the App Store and Apple Pay. He holds a PhD in machine learning from UT Austin.",https://www.youtube.com/watch?v=6gm7h0wS_qg,"Banking & Financial Services, Information Technology & Service, Insurance, Marketing & Advertising
","During my 8+ years at Apple, I helped build a realtime ML platform that was conceived for fraud alone, across the app store, online store, retail, and more. Today, that platform powers everything from web personalization to logistics. Now at my startup, we're applying the same approach to recommender systems, funnel optimization, and more non-fraud applications. I believe my experience bridging the fraud to non-fraud gap offers a unique perspective.
",MLOps & GenAI World 2023,6gm7h0wS_qg
Gon Rappaport,Aporia,Solution Architect,LLMidas' Touch; Safely adopting GenAI for production use-cases,"During the session, we'll explore the challenges of adopting GenAI in production use-cases. Through focus on the goal of using language models to solve more dynamic problems, we'll address the dangers of ""No-man's-prod"" and provide insights into safe and successful adoption. This presentation is designed for engineers, product managers and stakeholders and aims to provide a roadmap to release the first GenAI applications safely and successfully to production."," * Become familiar with the potential issues of using generative AI in production applications
* Learn how to mitigate the dangers of AI applications
* Learn how to measure the performance of different AI application types",,Virtual Workshop,3.0,Deployment and integration,"GenAI adoption, Production use-cases, Safety"," I'm a solution architect at Aporia. I joined just over two years ago. I've spent over eight years in the tech industry, starting from low-level programming and cybersecurity and transitioning to AI&ML.",https://www.youtube.com/watch?v=A3KschpEU_g,"Computer Software, Information Technology Services",Generative AI is still in its infant stage and not many companies have managed to harness its power in production. This session will cover most things to consider to ship such apps and evaluate their success.,MLOps & GenAI World 2024,A3KschpEU_g
Alison Cossette,Neo4j,Developer Advocate,"Driving GenAI Success in Production: Proven Approaches for Data Quality, Context, and Logging"," Generative AI is a part of our every day work now, but folks are still struggling to realize business value in production.

Key Themes:

Methodical Precision in Data Quality and Dataset Construction for RAG Excellence: Uncover an integrated methodology for refining, curating, and constructing datasets that form the bedrock of transformative GenAI applications. Specifically, focus on the six key aspects crucial for Retrieval-Augmented Generation (RAG) excellence.

Navigating Non-Semantic Context with Awareness: Explore the infusion of non-semantic context through graph databases while understanding the nuanced limitations of the Cosine Similarity distance metric. Recognize its constraints in certain contexts and the importance of informed selection in the quest for enhanced data richness.

The Logging Imperative: Recognize the strategic significance of logging in the GenAI landscape. From application health to profound business insights, discover how meticulous logging practices unlock valuable information and contribute to strategic decision-making.

Key Takeaways:

6 Requirements for GenAI Data Quality

Adding non-semantic context, including an awareness of limitations in distance metrics like Cosine Similarity.

The strategic significance of logging for application health and insightful business analytics.

Join us on this methodologically rich exploration, ""Beyond Vectors,"" engineered to take your GenAI practices beyond the current Vector Database norms, unlocking a new frontier in GenAI evolution with transformative tools and methods!",,,Advanced Technical/Research,2.0,Deployment and integration,"GenAI data quality, Non-semantic context, Logging for business insights





","Alison Cossette is a dynamic Data Science Strategist, Educator, and Podcast Host. As a Developer Advocate at Neo4j specializing in Graph Data Science, she brings a wealth of expertise to the field. With her strong technical background and exceptional communication skills, Alison bridges the gap between complex data science concepts and practical applications. Alison’s passion for responsible AI shines through in her work. She actively promotes ethical and transparent AI practices and believes in the transformative potential of responsible AI for industries and society. Through her engagements with industry professionals, policymakers, and the public, she advocates for the responsible development and deployment of AI technologies. She is currently a Volunteer Member of the US Department of Commerce - National Institute of Standards and Technology's Generative AI Public Working Group Alison’s academic journey includes Masters of Science in Data Science studies, specializing in Artificial Intelligence, at Northwestern University and research with Stanford University Human-Computer Interaction Crowd Research Collective. Alison combines academic knowledge with real-world experience. She leverages this expertise to educate and empower individuals and organizations in the field of data science. Overall, Alison Cossette’s multifaceted background, commitment to responsible AI, and expertise in data science make her a respected figure in the field. Through her role as a Developer Advocate at Neo4j and her podcast, she continues to drive innovation, education, and responsible practices in the exciting realm of data science and AI.",https://www.youtube.com/watch?v=FrpAgeJNgbM,Information Technology Services,,MLOps & GenAI World 2024,FrpAgeJNgbM
"Yizhi Yin, PhD",Neo4j,Sr. Solutions Engineer,Enabling GenAI Breakthroughs with Knowledge Graphs,"Join us for an immersive workshop to explore integrating Large Language Models (LLMs) with knowledge graphs using Neo4j, a leader in graph database and graph analytics, with a Retrieval Augmented Generation (RAG) approach. 

RAG has become the industry standard to overcome LLM limitations like reliance on generic data and lack of enterprise specific information. 

Neo4j's dynamic and interconnected data structure makes it ideal for this, enabling accurate and contextually rich responses. Neo4j’s graph data science algorithms provide additional insights into the knowledge graph, enhancing its capacity to derive new relationships and uncover hidden patterns.

This hands-on session will guide you through building a personal messenger application for personalized product recommendations using RAG patterns. 

By combining the capabilities of LLMs with Neo4j knowledge graph and graph data science, you will gain practical insights into creating sophisticated, intelligent GenAI applications tailored to your enterprise use case.","High level introduction of Knowledge Graph 

Connecting and exploring knowledge graph with Cypher

Implementing vector search with Neo4j

Analyzing vector search results with graph patterns

Enriching search results using graph data science methods

Next steps in GenAI application development and participate in an interactive Q&A session",Basic Python programming skills,Workshop,5.0,"Model dev, training, arch.","Knowledge Graphs, Retrieval Augmented Generation (RAG), Neo4j






",,https://www.youtube.com/watch?v=4EW4QbMgYkI,,,TMLS 2024,4EW4QbMgYkI
"Sasha Lucconi, Monish Gandhi, Deval Pandya","Hugging Face, Gradient Ascent Inc, Vector Institute","AI and Climate Leader, Founder, Vice President of AI Engineering",Connecting the Dots Between AI Ethics and Sustainability,"AI ethics and sustainability considerations have typically been considered separately : work that aims to estimate the carbon footprint of AI models does not typically address their contribution towards shifting the balance of power and amplifying inequalities, and that which aims to evaluate the societal impacts of AI models focuses on aspects such as bias and fairness consistently overlooks their water and energy use. In this panel, we will discuss how the two subjects are related and intertwined, especially in the context of generative AI technologies, which come with many challenges in terms of ethics and the environment.","- Key ethical challenges in AI (bias, fairness, representativity, copyright)
- Environmental impacts of AI (energy, water, natural resources)
- Current state of the art in research on both 
- How to make informed trade-offs between potential benefits of (generative) AI technologies while remaining cognizant of their ethical and environmental impacts",,Business Strategy or Ethics,2.0,"Ethics, governance compliance ","AI Ethics, Sustainability, Generative AI
","Dr. Sasha Luccioni is the AI & Climate Lead at Hugging Face, a global startup in responsible open-source AI, where she works on creating tools and techniques for quantifying AI’s societal and environmental costs. She is also a founding member of Climate Change AI (CCAI) and a board member of Women in Machine Learning (WiML).

Monish: Monish has been passionate about machine learning, AI, and model development for a long time: over ten years ago he built a computer vision based system that could help players win at pool billiards. He has also built models for everything from airplane landing gear systems to crowd behaviour. Over the past few years, he's worked on almost 60 ML/AI projects and brought this passion and experience to help businesses thrive in the coming AI-powered world.

Monish founded Gradient Ascent (GA) - a trusted provider of AI products, services, and solutions for non-AI companies within financial services, technology, industrial, and other sectors. GA has also made investments in AI businesses and is a member of AngelOne. Previously, he held product management, professional services, technical management, and sales roles at a number of fast growing technology companies. Monish often speaks at events and writes about the role of AI in business.

He has a masters degree in Finance and Financial Law (University of London) and an undergraduate degree in Systems Design Engineering (with Dean’s Honours) from University of Waterloo. In his free time, he loves to read, cook, and play tennis. He is a Board Member at CycleTO.

Deval: Deval is the Vice President of AI Engineering at Vector Institute and is passionate about the role of digital technologies in accelerating energy transition and Energy equity, as well as about building machine learning teams and products for societal good.

He holds a Doctorate in Mechanical Engineering and a Masters in Aerospace engineering. Before joining Vector Institute, Deval was leading Data Science and Machine learning teams at Shell. While in that role, his work spanned across various domains, including predictive maintenance, GHG accounting, power value chain, nature-based solutions, biofuels, and hydrogen.

He is passionate about the role of digitalization in energy transition and was the co-founder of the Future Energy Lions network at Shell. Deval also serves as a Director on the technical steering committee of Moja Global, a not-for-profit, collaborative project that brings together a community of experts to develop open-source software under Linux Foundation used for country-level greenhouse gas accounting from the AFOLU sector.

Deval is on the task force for Digitalization in Energy at the United Nations Economic Commission of Europe (UNECE). He enjoys traveling and cooking in his free time.",https://www.youtube.com/watch?v=HGMsahbuXm8,,,TMLS 2024,HGMsahbuXm8
